NAME,EXPANDED NAME,COUNTYNAME,Agency,EXPANDED NAME,County
CARLYLE POLICE DEPT,CARLYLE POLICE DEPARTMENT,CLINTON,CARLYLE PD,CARLYLE POLICE DEPARTMENT,CLINTON
CARMI POLICE DEPT,CARMI POLICE DEPARTMENT,WHITE,,,
CAROL STREAM PARK PD CAROL STREAM,CAROL STREAM PARK POLICE DEPARTMENT CAROL STREAM,DU PAGE,,,
CAROL STREAM POLICE DEPT,CAROL STREAM POLICE DEPARTMENT,DU PAGE,CAROL STREAM PD,CAROL STREAM POLICE DEPARTMENT,DUPAGE
CARPENTERSVILLE POLICE DEPT,CARPENTERSVILLE POLICE DEPARTMENT,KANE,CARPENTERSVILLE PD,CARPENTERSVILLE POLICE DEPARTMENT,KANE
CARRIER MILLS POLICE DEPT,CARRIER MILLS POLICE DEPARTMENT,SALINE,,,
CARROLL COUNTY SHERIFF'S OFFICE,CARROLL COUNTY SHERIFF'S OFFICE,CARROLL,CARROLL CO SO,CARROLL COUNTY SHERIFFS OFFICE,CARROLL
CARROLLTON POLICE DEPT,CARROLLTON POLICE DEPARTMENT,GREENE,CARROLLTON PD,CARROLLTON POLICE DEPARTMENT,GREENE
CARTERVILLE POLICE DEPT,CARTERVILLE POLICE DEPARTMENT,WILLIAMSON,CARTERVILLE PD,CARTERVILLE POLICE DEPARTMENT,WILLIAMSON
CARTHAGE POLICE DEPT,CARTHAGE POLICE DEPARTMENT,HANCOCK,CARTHAGE PD,CARTHAGE POLICE DEPARTMENT,HANCOCK
CARY POLICE DEPT,CARY POLICE DEPARTMENT,MCHENRY,CARY PD,CARY POLICE DEPARTMENT,MCHENRY
CASEY POLICE DEPT,CASEY POLICE DEPARTMENT,CLARK,CASEY PD (MCA),CASEY POLICE DEPARTMENT,CLARK
CASEY POLICE DEPT,CASEY POLICE DEPARTMENT,CLARK,CASEY PD (MCA),CASEY POLICE DEPARTMENT,CUMBERLAND
CASEYVILLE POLICE DEPT,CASEYVILLE POLICE DEPARTMENT,ST CLAIR,CASEYVILLE PD,CASEYVILLE POLICE DEPARTMENT,ST. CLAIR
CASS COUNTY SHERIFF'S OFFICE,CASS COUNTY SHERIFF'S OFFICE,CASS,CASS CO SO,CASS COUNTY SHERIFFS OFFICE,CASS
CATLIN POLICE DEPT,CATLIN POLICE DEPARTMENT,VERMILION,CATLIN PD,CATLIN POLICE DEPARTMENT,VERMILION
CAVE-IN-ROCK POLICE DEPT,CAVE-IN-ROCK POLICE DEPARTMENT,HARDIN,,,
CEDAR POINT PD,CEDAR POINT POLICE DEPARTMENT,LA SALLE,,,
CEDARVILLE POLICE DEPT,CEDARVILLE POLICE DEPARTMENT,STEPHENSON,,,
